Battle,Match ID,Match Type,Attacker,Defender,Result,Copper Gained,Supporters
1,1-1,1v1,ETOA,FYER,W,122.7,
1,1-2,1v1,ETRE,ATUM,W,117.3,
1,1-3,1v1,UFO,PNAS,W,112.5,
1,1-4,1v1,ETRR,UPER,W,111.1,
1,1-5,1v1,ROKK,ZMBY,W,108.9,
1,1-6,1v1,EVGS,AZI,W,103.4,
1,1-7,1v1,HPRO,HAVK,W,93.9,
1,1-8,1v1,MAAX,B33,W,93.9,
1,1-9,1v1,WARS,OPPA,W,93.8,
1,1-10,1v1,BAKS,GDNS,W,91.8,
1,1-11,1v1,ROKG,S700,W,70.7,
1,1-12,1v1,OFFJ,V1PS,W,70.4,
1,1-13,1v1,LAUP,UFFO,W,67.9,
1,1-14,1v1,MORT,SPAS,L,66.4,
1,1-15,1v1,OKM,RUNE,W,66.2,
1,1-16,1v1,TNTX,FEU,L,59,
1,1-17,1v1,a0a,17GZ,W,53,
1,1-18,1v1,FORG,WATT,W,50,
1,1-19,1v1,K1L,MXP2,W,31.4,
1,1-20,1v1,BNCR,BROD,W,24.6,
1,1-21,1v1,CBT,TII,W,24.5,
1,1-22,1v1,KZQZ,WASS,W,22.2,
1,1-23,1v1,TEN1,ZONE,W,17.9,
1,1-24,2v2,815K,NZM,L,17.9,HOPE
1,1-24,2v2,CLWN,NZM,L,0,HOPE
1,1-25,1v1,LAZO,XESS,W,17.7,
1,1-26,2v2,VODL,7VEK,L,14.5,SANC
1,1-27,1v1,SPG1,SPRR,W,6.4,
1,1-26,2v2,LEOI,7VEK,L,5.8,SANC
1,1-26,1v1,XUX,BOM8,W,3.3,
1,1-28,1v1,PIR4,ROKS,L,2.2,
1,1-29,1v1,KBM,BUNS,W,1.5,
1,1-30,1v1,FYDL,OCS,W,0.9,
1,1-31,1v1,E404,MXP,L,0,
1,1-24,2v1,CLWN,NZM,L,0,HOPE
1,1-32,2v1,RR6,UAC,L,0,
1,1-32,2v1,TDO,UAC,L,0,
1,1-33,2v2,BRIC,VALR,L,0,OGM
1,1-33,2v2,OHMS,VALR,L,0,OGM
1,1-34,2v2,AO5,BTFC,L,0,RISE
1,1-34,2v2,WLLF,BTFC,L,0,RISE
1,1-35,2v2,GWN,340G,L,0,RLPX
1,1-35,2v2,SAML,340G,L,0,RLPX
2,2-01,1v1,FYER,ETOA,W,174,
